,symbol,date,stop,targets,trades
29,NFLX,2023-05-30,388.91,"[403.60999999999996, 410.9599999999999]","[(1685592000000, 396.26, 1), (1685678400000, 403.60999999999996, -0.5), (1687320000000, 422.54, -0.5)]"
30,NFLX,2023-06-09,416.5669,"[432.8331, 440.9662]","[(1686628800000, 424.7, 1), (1686715200000, 432.8331, -0.5), (1687320000000, 422.54, -0.5)]"
31,INTC,2023-03-29,32.335,"[33.645, 34.300000000000004]","[(1680753600000, 32.99, 1), (1681099200000, 32.335, -1)]"
32,WFC,2023-04-11,39.04,"[40.32, 40.96]","[(1681444800000, 39.68, 1), (1681704000000, 40.32, -0.5), (1682395200000, 40.385, -0.5)]"
33,INTU,2023-02-02,412.7,"[423.82, 429.38]","[(1675746000000, 418.26, 1), (1675832400000, 423.82, -0.5), (1675918800000, 418.2851, -0.5)]"
34,BX,2023-02-02,93.825,"[97.835, 99.83999999999999]","[(1675746000000, 95.83, 1), (1675918800000, 93.825, -1)]"
35,BX,2023-05-30,82.54,"[90.48, 94.45]","[(1685592000000, 86.51, 1), (1685678400000, 90.48, -0.5), (1686024000000, 85.1, -0.5)]"
36,BX,2023-06-02,83.43,"[89.94999999999999, 93.20999999999998]","[(1686024000000, 86.69, 1), (1686542400000, 89.94999999999999, -0.5), (1687320000000, 89.09, -0.5)]"
37,BA,2023-03-29,209.12,"[218.86, 223.73000000000002]","[(1680667200000, 213.99, 1), (1680753600000, 209.12, -1)]"
38,BA,2023-03-30,209.12,"[218.86, 223.73000000000002]","[(1680667200000, 213.99, 1), (1680753600000, 209.12, -1)]"
39,NOW,2023-02-02,452.75,"[477.59000000000003, 490.01000000000005]","[(1675746000000, 465.17, 1), (1676264400000, 452.75, -1)]"
40,COP,2023-04-03,105.894,"[109.58599999999998, 111.43199999999997]","[(1681099200000, 107.74, 1), (1681185600000, 105.894, -1)]"
41,AMAT,2023-02-01,116.91,"[121.97, 124.5]","[(1675746000000, 119.44, 1), (1675832400000, 116.91, -1)]"
42,AMAT,2023-02-02,116.91,"[121.97, 124.5]","[(1675746000000, 119.44, 1), (1675832400000, 116.91, -1)]"
43,UBER,2023-02-08,33.35,"[35.690000000000005, 36.86000000000001]","[(1676350800000, 34.52, 1), (1676437200000, 35.690000000000005, -0.5), (1676610000000, 34.57, -0.5)]"
44,UBER,2023-05-02,36.685,"[38.91499999999999, 40.02999999999999]","[(1683259200000, 37.8, 1), (1683518400000, 38.91499999999999, -0.5), (1684209600000, 37.44, -0.5)]"
45,UBER,2023-05-03,36.685,"[38.91499999999999, 40.02999999999999]","[(1683259200000, 37.8, 1), (1683518400000, 38.91499999999999, -0.5), (1684209600000, 37.44, -0.5)]"
46,UBER,2023-05-18,37.525,"[39.645, 40.705000000000005]","[(1685073600000, 38.585, 1), (1685505600000, 37.525, -1)]"
47,SCHW,2023-05-23,51.94,"[53.36, 54.07]","[(1684987200000, 52.65, 1), (1685073600000, 53.36, -0.5), (1685592000000, 52.37, -0.5)]"
48,LRCX,2023-02-02,518.25,"[541.75, 553.5]","[(1675746000000, 530, 1), (1675832400000, 518.25, -1)]"
49,LRCX,2023-04-20,495.16,"[520.26, 532.81]","[(1682568000000, 507.71, 1), (1682654400000, 520.26, -0.5), (1683172800000, 507.19, -0.5)]"
50,SHOP,2023-04-18,47.64,"[49.84, 50.940000000000005]","[(1682049600000, 48.74, 1), (1682308800000, 47.64, -1)]"
51,SHOP,2023-05-04,62.36,"[65.5, 67.07]","[(1683691200000, 63.93, 1), (1683777600000, 62.36, -1)]"
52,MU,2023-03-21,60.5,"[62.3, 63.199999999999996]","[(1679889600000, 61.4, 1), (1679976000000, 60.5, -1)]"
53,MU,2023-03-29,57.87,"[61.74, 63.675000000000004]","[(1680580800000, 59.805, 1), (1680667200000, 57.87, -1)]"
54,MU,2023-05-25,68.095,"[71.48500000000001, 73.18000000000002]","[(1685678400000, 69.79, 1), (1685937600000, 68.095, -1)]"
55,PANW,2023-06-13,237.2,"[247.66000000000003, 252.89000000000004]","[(1687406400000, 242.43, 1), (1687492800000, 247.66000000000003, -0.5), (1688702400000, 247.06, -0.5)]"
56,PANW,2023-06-16,237.2,"[247.66000000000003, 252.89000000000004]","[(1687406400000, 242.43, 1), (1687492800000, 247.66000000000003, -0.5), (1688702400000, 247.06, -0.5)]"
57,ABNB,2023-02-02,116.81,"[121.857, 124.3805]","[(1675746000000, 119.3335, 1), (1675832400000, 116.81, -1)]"
58,ABNB,2023-06-16,124.395,"[130.865, 134.1]","[(1687320000000, 127.63, 1), (1687492800000, 124.395, -1)]"
59,SLB,2023-04-03,49.5,"[52.18000000000001, 53.52000000000001]","[(1681099200000, 50.84, 1), (1681272000000, 52.18000000000001, -0.5), (1682049600000, 49.09, -0.5)]"
60,SLB,2023-06-07,46.45,"[48.61, 49.69]","[(1686628800000, 47.53, 1), (1686715200000, 48.61, -0.5), (1687233600000, 46.47, -0.5)]"
61,ANET,2023-02-02,129.09,"[136.39000000000001, 140.04000000000002]","[(1675746000000, 132.74, 1), (1675832400000, 136.39000000000001, -0.5), (1676350800000, 130.08, -0.5)]"
62,ANET,2023-03-06,141.5,"[147.42000000000002, 150.38000000000002]","[(1678251600000, 144.46, 1), (1678338000000, 147.42000000000002, -0.5), (1679976000000, 161.04, -0.5)]"
63,ANET,2023-03-14,160.08,"[168.4, 172.56]","[(1679284800000, 164.24, 1), (1679371200000, 168.4, -0.5), (1679976000000, 161.04, -0.5)]"
64,ANET,2023-05-30,164.73,"[170.81000000000003, 173.85000000000005]","[(1685678400000, 167.77, 1), (1685937600000, 164.73, -1)]"
